CODE ISIN,Code Maroclear,OPCVM,Société de Gestion,Nature juridique,Classification,Sensibilité,Indice Bentchmark,Périodicité VL,Souscripteurs,Affectation des résultats,Commission de souscription,Commission de rachat,Frais de gestion,Dépositaire,Réseau placeur,AN,VL,YTD,1 jour,1 semaine,1 mois,3 mois,6 mois,1 an,2 ans,3 ans,5 ans,DatePublication,TypePublication
MA0000039745,3974,FONDS CIH D'IMPACT SOCIAL,CIH CAPITAL MANAGEMENT,FCP,OCT,"]0,5  1,1]",MBI CT,QUOTIDIENNE,FNPP,MIXTE,0.0,0.05,0.02,CIH BANK,CIH CAPITAL MANAGEMENT; CIH BANK,1002486.82,1002.49,0.00246,8.0e-05,0.00013,0.000259,0.003263,0.00245,-,-,-,-,2026-06-29,Quotidienne
MA0000039752,3975,AFG BALANCED FUND,AFG ASSET MANAGEMENT,FCP,DIVERSIFIÉ,-,50% MBI GLOBAL + 50% MASI,QUOTIDIENNE,FGP,MIXTE,0.03,0.03,0.02,BCP,AFG ASSET MANAGEMENT,762387325.29,904.53,-0.036032,0.001961,-0.014716,-0.035333,0.028576,-0.053671,-,-,-,-,2026-06-29,Quotidienne
MA0000039778,3977,CMIM PERFORMANCE,WAFA GESTION,FCP,OMLT,"]1,1   7]",MBI MT,QUOTIDIENNE,FNPP,MIXTE,0.0,0.0,0.02,ATTIJARIWAFA BANK,WAFA GESTION,1013145.77,10131.46,0.010176,0.000177,0.000379,0.001672,0.007996,0.010248,-,-,-,-,2026-06-29,Quotidienne
MA0000039786,3978,FCP AFRICAPITAL TRESORERIE,AFRICAPITAL MANAGEMENT,FCP,MONÉTAIRE,"[0  0,5]",TMP Interbancaire,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.03,0.02,ATTIJARIWAFA BANK,AFRICAPITAL MANAGEMENT,6582154.04,1013.26,0.009666,0.000158,0.000375,0.001799,0.005817,0.010068,-,-,-,-,2026-06-29,Quotidienne
MA0000039802,3980,CFG OBLIGATAIRE PLUS,CFG GESTION,FCP,OMLT,]4  8],MBI GLOBAL,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,CFG BANK,CFG GESTION,1331184.470684,128.0,-0.003581,0.003292,0.006368,0.001565,0.016518,-0.003426,0.001118,-,-,-,2026-06-29,Quotidienne
MA0000039828,3982,SN ACTIONS,CIH CAPITAL MANAGEMENT,FCP,ACTIONS,-,MASI RB,QUOTIDIENNE,FNPP,MIXTE,0.0,0.0,0.02,CIH BANK,CIH CAPITAL MANAGEMENT,636658.38,159164.6,-0.021648,0.002083,-0.007464,-0.02302,0.030854,-0.037942,-0.025967,-,-,-,2026-06-29,Quotidienne
MA0000039836,3983,STERLING BOND,STERLING ASSET MANAGEMENT,FCP,OMLT,[2  6],MBI GLOBAL,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,SAHAM BANK,STERLING ASSET MANAGEMENT,342705277.05,1006.43,1.0e-05,0.000756,0.000955,0.001672,0.012362,0.000427,-,-,-,-,2026-06-29,Quotidienne
MA0000039844,3984,STERLING EQUITY,STERLING ASSET MANAGEMENT,FCP,ACTIONS,-,MASI,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,ATTIJARIWAFA BANK,STERLING ASSET MANAGEMENT,803197673.98,921.23,-0.008396,0.000456,-0.015527,-0.029763,0.038556,-0.038984,-,-,-,-,2026-06-29,Quotidienne
MA0000039851,3985,STERLING SHORT TERM BOND,STERLING ASSET MANAGEMENT,FCP,OCT,"[0,5  1,1]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.03,0.015,0.02,SAHAM BANK,STERLING ASSET MANAGEMENT,1509420462.02,1016.36,0.013512,0.000207,0.000463,0.002169,0.007724,0.013674,-,-,-,-,2026-06-29,Quotidienne
MA0000039869,3986,QUANTUM OPTIMUM CT,QUANTUM CAPITAL GESTION,FCP,OCT,"[0,5 1,1]",MBI CT,QUOTIDIENNE,FGP,CAPITALISANT,0.015,0.02,0.03,BANQUE CENTRALE POPULAIRE,QUANTUM CAPITAL GESTION,1770953022.74,1013.73,0.013234,0.000197,0.000276,0.002185,0.008446,0.013639,-,-,-,-,2026-06-29,Quotidienne
